Tabel 1. Daftar Inventarisasi Peralatan dan Bahan Laboratorium,,,,,,,,,,
,,,,,,,,,,
,DAFTAR NAMA ALAT LABORATORIUM,,,,,,,,,
,SMA NEGERI 1 PINRANG,,,,,,,,,
,TAHUN PELAJARAN 2026 - 2027,,,,,,,,,
,,,,,,,,,,
,A. ALAT DARI BAHAN KACA,,,,,,,,,
,1. Berskala,,,,,,,,,
,NOMOR,KODE,NAMA PERALATAN,SPESIFIKASI,SUMBER DANA,JUMLAH,,Lokasi Penyimpanan,,
,,,,,,BAIK,RUSAK,Lab,Gud,Lem
,5,,Kasa,Plat,B,52, -, -, -,Lemari 3/1
,6,,Papan Bedah,Plat,A,20, -, -, -,Lemari 3/1
,7,KTA 90,Rak Tabung Reaksi,Kayu,"A,B",12, -, -, -,Lemari 3/1
,8,KTA 92,Rak Tabung Reaksi,Plastik,C,8, -, -, -,Lemari 3/1
,9,KIM 25/080,"Lumpung dan alu, q 10 cm",Set,C,21,-, -, -,Lemari 3/2
,10,,Plat Tetes,12 Lubang,"A,B",12, -, -, -,Lemari 3/2
,11,KSK 24,Sikat Tabung,Tabung Reaksi,"A,B",21, -, -, -,Lemari 3/3
,12,KSK 24,Sikat Tabung,Buret,C,8, -, -, -,Lemari 3/3
,13,KTA 85,Penjepit Tabung,Kayu,"A,D",14, -, -, -,Lemari 3/3
,14,KTA 85,Penjepit Tabung,Besi,B,3, -, -, -,Lemari 3/3
,15,,Auksanometer ,Besar,C, -,5, -, -,Atas Lemari 3
,16,,Batang Statif,sedang,"A,B",7, -, -, -,Atas Lemari 3
,17,BMK 36,Mikroskop sterio,Biasa,A,2,-, -, -,Lemari 6/1
,18,BMK 24,Mikroskop lanjutan,Dua penggerak,A /C,5,-, -, -,Lemari 6/2
,19,BMK 15,Mikroskop Siswa,EPS 400,"A,C",24,11, -, -,"Lemari 6/2,3"
,20,BPG 29,Quadrat  Folding,Bongkar Pasang,C,10, -, -, -,Lemari 9/1
,21,BMK 79,Storage Case Plastic,Plat,A,2,-, -, -,Lemari 9/1
,22,,Dissecting Dish,Plat,A,2, -, -, -,Lemari 9/1
,23,BFS 96,Kotak Genetik,Hukum Mendel,"B,C",8, -, -, -,Lemari 9/2
,24,BMK 48,Perangkat pemeliharaan  Mikroskop,Set,B,3,-, -, -,Lemari 9/2
,25,BPB 42,Sphygmomanometer ,Air Raksa dan Biasa,"B,D,E",4,2, -, -,Lemari 9/2
,26,BPG 41,Steteskop ,Buah ,"B,D,E",9,1, -, -,Lemari 9/2
,27,BPS 68,Higrometer,Jenis putar,A,6,4, -, -,Lemari 9/2
